gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
AAMP,0.41664921832487434,0.713431591455996,229,0.001,-1.628279941832494,0.10374427394041016,-0.7667569974637888,0.4432260082588122,-0.34744900845646515,0.34744900845646515,0.08665511265164645,0.8921686746987951,0.8451023194327962
AAMP_negation,0.008174248830200107,0.04186210830778086,0,0.001,1.628279941832494,0.10374427394041016,0.7667569974637888,0.4432260082588122,-0.347455731679144,0.347455731679144,0.0,1.0,0.39911252774991074
ABCA1,0.5372671313081101,0.8108196656260366,152,0.001,-1.6390223028525122,0.10151292358167822,-1.0140750356289483,0.31054694915142045,-0.5052004943613344,0.5052004943613344,0.04679376083188908,0.9246987951807228,0.9334406936046517
ABCA1_negation,0.024513399855008788,0.10100901130022523,0,0.001,1.6390223028525122,0.10151292358167822,1.0140750356289483,0.31054694915142045,-0.5052141574358001,0.5052141574358001,0.0,1.0,0.6911668609255366
ABCB1,0.9355892412747563,0.9907036895658319,279,0.001,-4.0048100632519255,6.593529510667201e-05,-2.625214946332158,0.008659428236638555,-0.8612746333889654,0.8612746333889654,0.06932409012131716,0.8560240963855422,1.0
ABCB1_negation,0.0015606758546576947,0.010438048740974872,0,0.001,4.0048100632519255,6.593529510667201e-05,2.625214946332158,0.008659428236638555,-0.8612887545245829,0.8612887545245829,0.0,1.0,0.13311901121606914
ABCG1,0.9994545489644101,0.9999813892544974,543,0.001,-4.767494201989021,2.085584239115061e-06,-3.586429539073893,0.00033523659224544034,-0.6878178944598413,0.6878178944598413,0.1681109185441941,0.7313253012048193,1.0
ABCG1_negation,0.00019683650925867447,0.0016977849723255791,0,0.001,4.767494201989021,2.085584239115061e-06,3.586429539073893,0.00033523659224544034,-0.687822605904408,0.687822605904408,0.0,1.0,0.026050388169120604
ABCG2,0.21449389830727608,0.4835352682849732,1,0.001,-1.0,0.3174563392417669,-0.02158561609760959,0.982778507551002,-9.236993931309572,9.236993931309572,0.0,0.9993975903614458,0.6911668609255366
ABCG2_negation,0.18623164661356797,0.44129564085505935,0,0.001,1.0,0.3174563392417669,0.02158561609760959,0.982778507551002,-9.232204179374271,9.232204179374271,0.0,1.0,0.6911668609255366
ACE,0.26792006012385206,0.5544668885195019,17,0.001,-0.3566609853505605,0.721409856203099,-0.03235971910646845,0.9741851851483135,-0.2827778629887877,0.2827778629887877,0.006932409012131715,0.9921686746987952,0.7126786446677368
ACE_negation,0.16582097378238111,0.40906270042297266,0,0.001,0.3566609853505605,0.721409856203099,0.03235971910646845,0.9741851851483135,-0.28285195568538574,0.28285195568538574,0.0,1.0,0.6911668609255366
ACHE,1.669712980589579e-06,2.2140475932225364e-05,136,0.001,3.8991200240076327,0.00010482272566232237,2.183514133048837,0.028997969320942837,1.2350194868916895,1.2350194868916895,0.10571923743500866,0.9548192771084337,0.0004831543858987846
ACHE_negation,0.18623164661356797,0.44129564085505935,0,0.001,-3.8991200240076327,0.00010482272566232237,-2.183514133048837,0.028997969320942837,1.2350473142283636,1.2350473142283636,0.0,1.0,0.6911668609255366
ACVR1B,0.33190177811494187,0.6293478617322031,50,0.001,-1.4928381120200598,0.13572348117716476,-0.3264403571364667,0.744091207770617,-0.6978169336075454,0.6978169336075454,0.01559792027729636,0.9753012048192771,0.7813142859937086
ACVR1B_negation,0.20690429107495037,0.47187494679931136,0,0.001,1.4928381120200598,0.13572348117716476,0.3264403571364667,0.744091207770617,-0.6978878775638768,0.6978878775638768,0.0,1.0,0.6911668609255366
ACVR2A,0.17135487322835377,0.4179846947495848,13,0.001,-1.0011453420783545,0.316931987772907,-0.11324031183269363,0.9098400369735034,-0.9346931429281139,0.9346931429281139,0.0034662045060658577,0.9933734939759036,0.6911668609255366
ACVR2A_negation,0.14791495496135704,0.3787236840042212,0,0.001,1.0011453420783545,0.316931987772907,0.11324031183269363,0.9098400369735034,-0.9350901463923375,0.9350901463923375,0.0,1.0,0.6911668609255366
ACVR2B,0.21449389830727608,0.4835352682849732,5,0.001,-2.2387685436741815,0.025303116378541272,-0.10792808048804794,0.9140527422138756,-11.55700803323861,11.55700803323861,0.0,0.9969879518072289,0.6911668609255366
ACVR2B_negation,0.18623164661356797,0.44129564085505935,0,0.001,2.2387685436741815,0.025303116378541272,0.10792808048804794,0.9140527422138756,-11.556050083696263,11.556050083696263,0.0,1.0,0.6911668609255366
