gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
ACE,0.00614814540107876,0.032341276960482127,3,0.001,-1.7338336704264419,0.08326435364020038,-0.08410190124643482,0.9329754130256189,-11.589221426933264,11.589221426933264,0.0,0.9969199178644764,0.043057913113067926
ACE_negation,0.004010167140468426,0.022640535361306023,0,0.001,1.7338336704264419,0.08326435364020038,0.08410190124643482,0.9329754130256189,-11.588284636920465,11.588284636920465,0.0,1.0,0.033791843822844815
ACHE,0.0005188592632034628,0.0038992957828084458,80,0.001,2.0925195081057915,0.036914178889188666,1.0483360744191328,0.2944837946225679,0.7811023762872474,0.7811023762872474,0.08982035928143713,0.9486652977412731,0.02958578686211787
ACHE_negation,0.005273700938567931,0.028445525011787688,0,0.001,-2.0925195081057915,0.036914178889188666,-1.0483360744191328,0.2944837946225679,0.7811233578196751,0.7811233578196751,0.0,1.0,0.039145217906129855
ACVR1B,0.005865186794565822,0.031082655660457478,28,0.001,-0.636534924539123,0.5246416744225126,-0.12674039010191276,0.8991458769116608,-0.39450657164394104,0.39450657164394104,0.017964071856287425,0.9774127310061602,0.04200358873034795
ACVR1B_negation,0.0009800018040607343,0.006797737681147194,0,0.001,0.636534924539123,0.5246416744225126,0.12674039010191276,0.8991458769116608,-0.3945450016945436,0.3945450016945436,0.0,1.0,0.02958578686211787
ACVR2A,0.014551134662256496,0.0656987733681175,14,0.001,-2.1826832289480413,0.029256018882834623,-0.2826898237504915,0.7774146176754145,-2.155992355944342,2.155992355944342,0.0029940119760479044,0.9866529774127311,0.07821282543823513
ACVR2A_negation,0.0038405547693883203,0.021905456925644592,0,0.001,2.1826832289480413,0.029256018882834623,0.2826898237504915,0.7774146176754145,-2.156739893964038,2.156739893964038,0.0,1.0,0.033791843822844815
ACVR2B,0.0024116369161319585,0.01470238744418119,2,0.001,0.621554936410592,0.5345766915751242,0.05371778123524779,0.9571600158784489,1.5431509482104404,1.5431509482104404,0.0029940119760479044,0.9989733059548255,0.02958578686211787
ACVR2B_negation,0.004672930324369465,0.025653015894936442,0,0.001,-0.621554936410592,0.5345766915751242,-0.05371778123524779,0.9571600158784489,1.5449975987156523,1.5449975987156523,0.0,1.0,0.03618763997718308
ADA,0.08656323508444337,0.25639106333249406,98,0.001,-2.4223231489208974,0.015646341229384124,-0.8881060050783701,0.37448373276562874,-0.7947162386751662,0.7947162386751662,0.05089820359281437,0.9168377823408624,0.275689315411284
ADAM10,0.04850196500636059,0.16732022361293428,90,0.001,-0.7537138558285699,0.45129188500032436,-0.22460747278987983,0.8222846509762184,-0.25342976993507327,0.25342976993507327,0.06287425149700598,0.9291581108829569,0.1852253397929162
ADAM10_negation,0.003485842762193439,0.02006622441580015,0,0.001,0.7537138558285699,0.45129188500032436,0.22460747278987983,0.8222846509762184,-0.2534371631589765,0.2534371631589765,0.0,1.0,0.03250395226484095
ADAM17,0.013012276433727502,0.05969742932843861,65,0.001,-0.3924723219375403,0.6948405143716265,-0.06966524753946197,0.9444601029967655,-0.15636295512296333,0.15636295512296333,0.04790419161676647,0.9496919917864476,0.07183966106982033
ADAM17_negation,0.0010474815259234826,0.007203027182250308,0,0.001,0.3924723219375403,0.6948405143716265,0.06966524753946197,0.9444601029967655,-0.15636914206516025,0.15636914206516025,0.0,1.0,0.02958578686211787
ADAM8,0.4066650155709977,0.6961176399444172,150,0.001,-4.3893873428206716,1.271429878984563e-05,-2.016599081184474,0.043737368990292055,-1.2253008675521355,1.2253008675521355,0.059880239520958084,0.86652977412731,0.6976680133073224
ADAM8_negation,0.0030348180540165403,0.01797382589582886,0,0.001,4.3893873428206716,1.271429878984563e-05,2.016599081184474,0.043737368990292055,-1.2253259372201462,1.2253259372201462,0.0,1.0,0.031239340170786754
ADAM9,0.0017193627240299862,0.011016760986951065,22,0.001,0.6325258795950306,0.5273259243413604,0.151752731989575,0.8793819646466391,0.444513155621874,0.444513155621874,0.020958083832335328,0.9845995893223819,0.02958578686211787
ADAM9_negation,0.0038405547693883203,0.021905456925644592,0,0.001,-0.6325258795950306,0.5273259243413604,-0.151752731989575,0.8793819646466391,0.44456283929125046,0.44456283929125046,0.0,1.0,0.033791843822844815
ADA_negation,0.0011949308848944852,0.00811963845729208,0,0.001,2.4223231489208974,0.015646341229384124,0.8881060050783701,0.37448373276562874,-0.7947402493836091,0.7947402493836091,0.0,1.0,0.02958578686211787
ADRB1,0.0017133663961296224,0.010971363371656766,4,0.001,-0.02472309954547839,0.980284275623183,-0.002350152929042091,0.9981248509885349,-0.04087537039221515,0.04087537039221515,0.0029940119760479044,0.9969199178644764,0.02958578686211787
ADRB1_negation,0.0027303485784526253,0.01640367516021868,0,0.001,0.02472309954547839,0.980284275623183,0.002350152929042091,0.9981248509885349,-0.040902300702566195,0.040902300702566195,0.0,1.0,0.02958578686211787
