gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
AAMP,0.6397269548291703,0.836186364238343,17,0.001,-1.8629884226056646,0.06417199189158475,-0.7020163845804522,0.4826689455426364,-1.5099723591456378,1.5099723591456378,0.03333333333333333,0.9050632911392406,0.36768599715971734
AAMP_negation,0.26155011297847097,0.5010409267699795,0,0.001,1.8629884226056646,0.06417199189158475,0.7020163845804522,0.4826689455426364,-1.510028528072588,1.510028528072588,0.0,1.0,0.2876085949954495
ABCA1,0.24721948636879001,0.4829725449067905,6,0.001,0.9594609582543195,0.34033072110794227,0.3534123579908441,0.7237793224921152,1.3968548075032339,1.3968548075032339,0.05,0.9810126582278481,0.28178859472173673
ABCA1_negation,0.10081584828217638,0.2558417418925402,0,0.001,-0.9594609582543195,0.34033072110794227,-0.3534123579908441,0.7237793224921152,1.3969254995602935,1.3969254995602935,0.0,1.0,0.2747349934501665
ABCB1,0.2631336333145497,0.5049941617880407,23,0.001,-0.1737242794468148,0.862400771368218,-0.08775204807255653,0.9300737507625576,-0.11768205160248116,0.11768205160248116,0.1,0.8924050632911392,0.28890468123486984
ABCB1_negation,0.05795419420170872,0.16826417279539363,0,0.001,0.1737242794468148,0.862400771368218,0.08775204807255653,0.9300737507625576,-0.11768398893582205,0.11768398893582205,0.0,1.0,0.2747349934501665
ABCG1,0.5150851804892301,0.7500137324927107,4,0.001,-2.0193865598052487,0.045148380655382424,-0.28849988407415844,0.7729641192358526,-14.627844806475734,14.627844806475734,0.0,0.9746835443037974,0.3425083952547427
ABCG1_negation,0.19467945307986262,0.41465816453292564,0,0.001,2.0193865598052487,0.045148380655382424,0.28849988407415844,0.7729641192358526,-14.627730833567446,14.627730833567446,0.0,1.0,0.2747349934501665
ACHE,0.5150851804892301,0.7500137324927107,2,0.001,-1.4187390573394787,0.1579572108790078,-0.14424994203707922,0.8853031052533916,-13.627901789553608,13.627901789553608,0.0,0.9873417721518988,0.3425083952547427
ACHE_negation,0.19467945307986262,0.41465816453292564,0,0.001,1.4187390573394787,0.1579572108790078,0.14424994203707922,0.8853031052533916,-13.627673843736675,13.627673843736675,0.0,1.0,0.2747349934501665
ACVR1B,0.496073647622394,0.7327553610060652,3,0.001,-1.7431895127665709,0.08325822156222004,-0.21637491305561882,0.8286955195761404,-14.21282630180626,14.21282630180626,0.0,0.9810126582278481,0.34181471602582786
ACVR1B_negation,0.10081584828217638,0.2558417418925402,0,0.001,1.7431895127665709,0.08325822156222004,0.21637491305561882,0.8286955195761404,-14.21267433792848,14.21267433792848,0.0,1.0,0.2747349934501665
ACVR2A,0.4799298082395034,0.719464236822905,2,0.001,-1.4187390573394787,0.1579572108790078,-0.14424994203707922,0.8853031052533916,-13.627901789553608,13.627901789553608,0.0,0.9873417721518988,0.33762918458348706
ACVR2A_negation,0.19467945307986262,0.41465816453292564,0,0.001,1.4187390573394787,0.1579572108790078,0.14424994203707922,0.8853031052533916,-13.627673843736675,13.627673843736675,0.0,1.0,0.2747349934501665
