"","x"
"332","S1PR1"
"333","TRPC4"
"334","AXL"
"335","BMP2"
"336","ATP6AP2"
"337","IFITM3"
"338","CD44"
"339","PVR"
"340","C11orf34"
"341","PDLIM2"
"342","ICAM1"
"343","IGF2R"
"344","IFITM1"
"345","FGA"
"346","REEP2"
"347","CST8"
"348","ANGPTL3"
"349","PSTPIP1"
"350","SLIT2"
"351","BCAM"
"352","KCNMA1"
"353","BST2"
"354","EGFR"
"355","KLRC1"
"356","SCNN1A"
"357","ACE2"
"358","FCGR3A"
"359","PEAR1"
"360","CR2"
"361","CD8A"
"362","GREM1"
"363","ITGAL"
"364","WNT1"
"365","AQP4"
"366","HLA-DQB1"
"367","BMPR1A"
"368","CD74"
"369","ANXA5"
"370","SLAMF1"
"371","PTPRJ"
"372","AIPL1"
"373","TGFBR3"
"374","CEP290"
"375","KLHL20"
"376","NFAM1"
"377","HMMR"
"378","PSEN2"
"379","AMOT"
"380","PTPRR"
"381","CD72"
"382","CD8B"
"383","CD209"
"384","ROBO4"
"385","ALCAM"
"386","SLC1A3"
"387","HSPD1"
"388","RYK"
"389","GPM6A"
"390","HSP90AA1"
"391","AGRN"
"392","LRPAP1"
"393","GPR125"
"394","BOC"
"395","ITGB1"
"396","PCSK6"
"397","ACE"
"398","ENOX2"
"399","ROBO1"
"400","CD48"
"401","MUC17"
"402","ITGB4"
"403","DSCAML1"
"404","FZD9"
"405","SHH"
"406","GHRHR"
"407","CD80"
"408","CCRL2"
"409","TNFRSF9"
"410","GPRC6A"
"411","FGB"
"412","ADAM10"
"413","NRXN1"
"414","REEP4"
"415","CD69"
"416","XPOT"
"417","RPS6KB1"
"418","CD99"
"419","ADCYAP1R1"
"420","PAQR3"
"421","HFE2"
"422","AQP11"
"423","HYAL4"
"424","RSPO2"
"425","CNRIP1"
"426","GUCY2GP"
"427","SULF2"
"428","ULBP1"
"429","SCARA5"
"430","ANXA9"
"431","P2RY12"
"432","MUC16"
"433","APOE"
"434","INTU"
"435","NR4A2"
"436","CD38"
"437","ECE1"
"438","FERMT2"
"439","ATPIF1"
"440","ISLR2"
"441","CNTN2"
"442","P2RX2"
"443","GRIA1"
"444","HLA-DQA1"
"445","VWF"
"446","FCGR2B"
"447","ACVRL1"
"448","SCUBE3"
"449","TLN1"
"450","TNR"
"451","SULF1"
"452","IRAK2"
"453","GRK5"
"454","WNT5A"
"455","RTN4RL1"
"456","NOTCH4"
"457","F2R"
"458","ACVR2A"
"459","PCSK9"
"460","P4HB"
"461","IL10RA"
"462","GRIN1"
"463","RGMA"
"464","UMODL1"
"465","CD40"
"466","RTN4RL2"
"467","ITGA1"
"468","LY6E"
"469","HEG1"
"470","FZD10"
"471","GPR116"
"472","UNC5D"
"473","CHRNA7"
"474","GPR174"
"475","WNT4"
"476","KCNH5"
