gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
AAMP,0.08445536296588117,0.25703205647941313,228,0.001,0.45109578826031177,0.6524050363032297,0.12188744351434944,0.9029881601013924,0.21687695768647255,0.21687695768647255,0.0582010582010582,0.9468397844194023,0.48875403621282226
AAMP_negation,0.2627503482356867,0.543258257916303,0,0.001,-0.45109578826031177,0.6524050363032297,-0.12188744351434944,0.9029881601013924,0.21688432966404925,0.21688432966404925,0.0,1.0,0.48875403621282226
ABCA1,0.5479605688805682,0.8087996582018894,195,0.001,-4.918163179720436,1.4534752331312494e-06,-0.8552938455911614,0.39238849379779617,-2.2881727277228463,2.2881727277228463,0.010582010582010581,0.9527192552670259,0.5544739121580256
ABCA1_negation,0.27299283803719215,0.5555341563428777,0,0.001,4.918163179720436,1.4534752331312494e-06,0.8552938455911614,0.39238849379779617,-2.2883895764119058,2.2883895764119058,0.0,1.0,0.48875403621282226
ABCB1,0.7122891437126738,0.9056123769664236,374,0.001,-3.464713831567281,0.0006315472590563005,-1.1075465473791504,0.2680576991119038,-1.1818727411238248,1.1818727411238248,0.042328042328042326,0.9103380695737384,0.6008802501199021
ABCB1_negation,0.18685086384585922,0.4393439080555451,0,0.001,3.464713831567281,0.0006315472590563005,1.1075465473791504,0.2680576991119038,-1.1819108621320853,1.1819108621320853,0.0,1.0,0.48875403621282226
ABCG1,0.9071879960701846,0.980487000563342,700,0.001,-3.3562315007953702,0.0009324326558860794,-1.9277524977210079,0.053885918794948445,-0.9422148503926144,0.9422148503926144,0.08465608465608465,0.8324350808427241,0.6227758007117439
ABCG1_negation,0.06138589829004117,0.20480040712375322,0,0.001,3.3562315007953702,0.0009324326558860794,1.9277524977210079,0.053885918794948445,-0.9422279267718834,0.9422279267718834,0.0,1.0,0.48875403621282226
ACE,0.31213595065451055,0.6011178059411609,2,0.001,-1.4143868622404665,0.1573246319115692,-0.011404320210005961,0.9909008662150564,-8.939449642048674,8.939449642048674,0.0,0.9995100440960314,0.48875403621282226
ACE_negation,0.30702483288755267,0.5954664406166977,0,0.001,1.4143868622404665,0.1573246319115692,0.011404320210005961,0.9909008662150564,-8.933560552714399,8.933560552714399,0.0,1.0,0.48875403621282226
ACHE,0.2264454952309381,0.4958493441891302,53,0.001,1.1783390601389094,0.24007999176094538,0.34161671359232143,0.7326393575225063,1.0822598610107523,1.0822598610107523,0.026455026455026454,0.9882410583047526,0.48875403621282226
