gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
AAMP,1.0,1.0,400,1.001,-11.733142453410796,1.8932558859877364e-31,-6.858891483745786,6.939692735149995e-12,-0.6871480851298306,0.6871480851298306,0.010299324106855488,0.9706609264131388,1.0
AAMP_negation,0.0004949370524817783,0.004004263581036809,0,0.001,11.733142453410796,1.8932558859877364e-31,6.858891483745786,6.939692735149995e-12,-0.6871547458983381,0.6871547458983381,0.0,1.0,0.043427683373718794
ABCA1,0.6355737282110316,0.8840585467728531,61,0.001,-3.8293603286749187,0.00012904539496067926,-0.24693193635408178,0.8049608998549616,-1.9678971799861453,1.9678971799861453,0.0016092693916961698,0.9955353583672167,1.0
ABCA1_negation,0.48652157342471397,0.7858837181485513,0,0.001,3.8293603286749187,0.00012904539496067926,0.24693193635408178,0.8049608998549616,-1.9692320420175407,1.9692320420175407,0.0,1.0,1.0
ABCB1,0.9999999765826877,0.9999999999779624,1411,0.001,-13.396192528946214,1.8798254211828845e-40,-5.28445477047726,1.2607969309704504e-07,-1.3371895992909177,1.3371895992909177,0.04119729642742195,0.8977118711631986,1.0
ABCB1_negation,0.07467752993090596,0.2423254425786577,0,0.001,13.396192528946214,1.8798254211828845e-40,5.28445477047726,1.2607969309704504e-07,-1.3372282901896964,1.3372282901896964,0.0,1.0,1.0
ABCG1,0.604748179289746,0.8664259506708817,120,0.001,-1.0348064628592766,0.3008081905333894,-0.16728040778304076,0.867149419246519,-0.3512357003281108,0.3512357003281108,0.006115223688445446,0.9919476999123017,1.0
ABCG1_negation,0.4603252800130689,0.7650008698352284,0,0.001,1.0348064628592766,0.3008081905333894,0.16728040778304076,0.867149419246519,-0.351332572399614,0.351332572399614,0.0,1.0,1.0
ABCG2,0.5036112354098671,0.7987933808709679,9,0.001,0.17071472346845618,0.8644557069827841,0.007400728131464954,0.9940951271876658,0.20559007815089206,0.20559007815089206,0.000643707756678468,0.9994419197959021,1.0
ABCG2_negation,0.5037386095366835,0.7988677079112575,0,0.001,-0.17071472346845618,0.8644557069827841,-0.007400728131464954,0.9940951271876658,0.2062778334143078,0.2062778334143078,0.0,1.0,1.0
ACE,0.5994478265400018,0.8632223208640516,42,0.001,-1.617732269161512,0.10576875863492252,-0.1158767288405491,0.9077502391302233,-0.912291028324111,0.912291028324111,0.0016092693916961698,0.9970501474926253,1.0
ACE_negation,0.5283526994978834,0.8168243479117394,0,0.001,1.617732269161512,0.10576875863492252,0.1158767288405491,0.9077502391302233,-0.9131316033961776,0.9131316033961776,0.0,1.0,1.0
ACHE,0.45139243391977824,0.7576308238978459,46,0.001,1.3068879164841656,0.19132114181254883,0.16889051525185814,0.8658827597609144,0.7105353411716333,0.7105353411716333,0.004505954296749276,0.9974487762098382,1.0
ACHE_negation,0.5453556145737607,0.8286441876524592,0,0.001,-1.3068879164841656,0.19132114181254883,-0.16889051525185814,0.8658827597609144,0.7109158279726729,0.7109158279726729,0.0,1.0,1.0
ACVR1B,0.7760874692530985,0.9487293735504705,182,0.001,-2.2373948227343012,0.025298591774078505,-0.3518550552931309,0.7249469671164945,-0.5990963478380893,0.5990963478380893,0.008368200836820083,0.987562784022961,1.0
ACVR1B_negation,0.5600052748352036,0.8383543889168419,0,0.001,2.2373948227343012,0.025298591774078505,0.3518550552931309,0.7249469671164945,-0.599213532785504,0.599213532785504,0.0,1.0,1.0
ACVR2A,0.6158435744378911,0.872883375223562,48,0.001,-2.726627365132021,0.006412230090240744,-0.19192658450613637,0.8477997131160437,-1.477846686471206,1.477846686471206,0.001287415513356936,0.9964920672885275,1.0
ACVR2A_negation,0.5100045733473958,0.8035289373783812,0,0.001,2.726627365132021,0.006412230090240744,0.19192658450613637,0.8477997131160437,-1.479283659251679,1.479283659251679,0.0,1.0,1.0
ACVR2B,0.5894442779931056,0.8571218415069651,113,0.001,-1.4672384413909365,0.14236795916561465,-0.1886398362020216,0.8503751085324256,-0.499084590444785,0.499084590444785,0.0054715159317669775,0.9923463286295144,1.0
ACVR2B_negation,0.4722299673256749,0.7745436086867482,0,0.001,1.4672384413909365,0.14236795916561465,0.1886398362020216,0.8503751085324256,-0.49923883020899484,0.49923883020899484,0.0,1.0,1.0
ADA,0.9906720750428627,0.9995494533372495,1778,0.001,-5.471355493491967,4.6637209969011515e-08,-2.5959035288268906,0.009434254962936232,-0.45728660436860485,0.45728660436860485,0.08979723205664629,0.8804911105796062,1.0
ADAM10,0.3458336870978183,0.6580103229595451,2785,0.001,-0.5195638995954586,0.6033908115542239,0.10260997556442583,0.9182725252791182,-0.03386638139998263,0.03386638139998263,0.17959446411329258,0.8224507693534242,1.0
ADAM10_negation,0.5553658491379789,0.8353381889444347,0,0.001,0.5195638995954586,0.6033908115542239,-0.10260997556442583,0.9182725252791182,-0.03386671850839429,0.03386671850839429,0.0,1.0,1.0
ADAM17,0.5996980802167587,0.8633594541379128,776,0.001,-0.01865813936115355,0.985114601145736,-0.0016722052775320873,0.9986657738483736,-0.0024054577896293365,0.0024054577896293365,0.04956549726424203,0.9504105875787292,1.0
ADAM17_negation,0.6605968751193382,0.8974484691860657,0,0.001,0.01865813936115355,0.985114601145736,0.0016722052775320873,0.9986657738483736,-0.002405551135566315,0.002405551135566315,0.0,1.0,1.0
ADAM8,7.854449322738202e-20,3.708690447740689e-18,300,1.001,7.432931523991837,1.2735332755028652e-13,5.377233332254816,7.56391222373773e-08,0.5760832675138908,0.5760832675138908,0.02413904087544255,0.9820617077254246,8.86714170687092e-17
ADAM8_negation,0.9951728224877576,0.9998207520024531,0,0.001,-7.432931523991837,1.2735332755028652e-13,-5.377233332254816,7.56391222373773e-08,0.5760899953051574,0.5760899953051574,0.0,1.0,1.0
ADAM9,0.5375769772557847,0.8232479379042036,71,0.001,-0.08747698049591832,0.9302959783021817,-0.0033510638917121803,0.9973262428627567,-0.037329592208497325,0.037329592208497325,0.004505954296749276,0.9954556326237742,1.0
ADAM9_negation,0.5173219693509371,0.8089575823171005,0,0.001,0.08747698049591832,0.9302959783021817,0.0033510638917121803,0.9973262428627567,-0.03734595222890891,0.03734595222890891,0.0,1.0,1.0
ADA_negation,0.09431022473708946,0.2862854257629701,0,0.001,5.471355493491967,4.6637209969011515e-08,2.5959035288268906,0.009434254962936232,-0.4572949159465114,0.4572949159465114,0.0,1.0,1.0
ADRB1,0.4885940858120201,0.7874328177552734,8,0.001,1.4611204485319946,0.1440722604504191,0.08370784614744178,0.9332887187195028,2.009891628214249,2.009891628214249,0.001287415513356936,0.9996810970262298,1.0
ADRB1_negation,0.5100045733473958,0.8035289373783812,0,0.001,-1.4611204485319946,0.1440722604504191,-0.08370784614744178,0.9332887187195028,2.0166982926222556,2.0166982926222556,0.0,1.0,1.0
AGRN,0.6026191112296155,0.865110025359128,42,0.001,-1.617732269161512,0.10576875863492252,-0.1158767288405491,0.9077502391302233,-0.912291028324111,0.912291028324111,0.0016092693916961698,0.9970501474926253,1.0
AGRN_negation,0.5141943074298324,0.806718077962379,0,0.001,1.617732269161512,0.10576875863492252,0.1158767288405491,0.9077502391302233,-0.9131316033961776,0.9131316033961776,0.0,1.0,1.0
AGTRAP,0.2827571992940882,0.5864647613522411,975,0.001,1.4334224202980677,0.1518041558950545,0.7370566338660661,0.4610879096500736,0.16165040326564017,0.16165040326564017,0.06919858384293531,0.9394084349836562,1.0
AGTRAP_negation,0.8258128193358963,0.9657975091104475,0,0.001,-1.4334224202980677,0.1518041558950545,-0.7370566338660661,0.4610879096500736,0.16165523485694946,0.16165523485694946,0.0,1.0,1.0
AIMP1,0.9999999999989979,1.0,3021,0.001,-10.389329146361533,4.573478367447287e-25,-6.183883867459022,6.25433862597729e-10,-0.6751322173700773,0.6751322173700773,0.13678789829417445,0.7930319700231204,1.0
AIMP1_negation,0.002172580471682992,0.014353155464334083,0,0.001,10.389329146361533,4.573478367447287e-25,6.183883867459022,6.25433862597729e-10,-0.6751393007215573,0.6751393007215573,0.0,1.0,0.14518768796614862
ALCAM,0.6521995712922615,0.8930336278850386,63,0.001,-2.130035179702928,0.0332061256983431,-0.19115257967608507,0.848406054417651,-0.9863945906713056,0.9863945906713056,0.002252977148374638,0.9955353583672167,1.0
ALCAM_negation,0.5430828200908278,0.8270168114822894,0,0.001,2.130035179702928,0.0332061256983431,0.19115257967608507,0.848406054417651,-0.9870290158888325,0.9870290158888325,0.0,1.0,1.0
AMN,0.9426360186629251,0.9937879835692135,291,0.001,-8.920884194041879,5.421134447019697e-19,-1.4153620873513597,0.15696235959322288,-2.0283328495463895,2.0283328495463895,0.0054715159317669775,0.9781551462967392,1.0
AMN_negation,0.4369782824961911,0.7452121727626287,0,0.001,8.920884194041879,5.421134447019697e-19,1.4153620873513597,0.15696235959322288,-2.0287309418511272,2.0287309418511272,0.0,1.0,1.0
AMOT,0.5094742376568473,0.8032017611095661,59,0.001,-0.23872121733200144,0.8113317384234754,-0.02475706566722903,0.9802487371859305,-0.11221208620688107,0.11221208620688107,0.003540392661731574,0.9961731643147572,1.0
AMOT_negation,0.47275906243774607,0.7750136371842021,0,0.001,0.23872121733200144,0.8113317384234754,0.02475706566722903,0.9802487371859305,-0.11227308925965586,0.11227308925965586,0.0,1.0,1.0
ANXA5,4.0478059273060917e-16,1.5369985145080893e-14,809,1.001,6.413446335157118,1.5697148149214155e-10,5.755078538273939,8.6601522956376e-09,0.3847353327356105,0.3847353327356105,0.0643707756678468,0.9514470222434824,3.5931609716944666e-13
ANXA5_negation,0.9873466197986197,0.9993074477498904,0,0.001,-6.413446335157118,1.5697148149214155e-10,-5.755078538273939,8.6601522956376e-09,0.3847377340211558,0.3847377340211558,0.0,1.0,1.0
AOC3,0.4932837070983007,0.7909576756818576,4,0.001,-2.0002392392201385,0.045495957838893625,-0.02756255595380475,0.9780110463312652,-8.321490593368116,8.321490593368116,0.0,0.9996810970262298,1.0
AOC3_negation,0.46908813081591305,0.7721277786653823,0,0.001,2.0002392392201385,0.045495957838893625,0.02756255595380475,0.9780110463312652,-8.312442701763347,8.312442701763347,0.0,1.0,1.0
APOE,0.4793975047773981,0.7802502285450529,3,0.001,0.47621179414308074,0.6339501705108466,0.014036322548409258,0.988801002684046,1.0087441988508885,1.0087441988508885,0.000321853878339234,0.9998405485131149,1.0
APOE_negation,0.4815470045240901,0.782055041572261,0,0.001,-0.47621179414308074,0.6339501705108466,-0.014036322548409258,0.988801002684046,1.0178752241679505,1.0178752241679505,0.0,1.0,1.0
APP,0.999985759096421,0.9999999247899947,822,0.001,-19.355157412067776,2.591576716115653e-82,-4.69231889769917,2.7012562581938937e-06,-2.816848386323828,2.816848386323828,0.009011908593498551,0.9366977597066093,1.0
APP_negation,0.05610478010522116,0.1964763301189431,0,0.001,19.355157412067776,2.591576716115653e-82,4.69231889769917,2.7012562581938937e-06,-2.8171136526270257,2.8171136526270257,0.0,1.0,1.0
AQP11,0.5644284153271979,0.8413420046657135,163,0.001,-0.9604815451847138,0.3368591985212973,-0.1858099503477365,0.8525938011728635,-0.27736085904583674,0.27736085904583674,0.008690054715159318,0.9891572988918121,1.0
AQP11_negation,0.4359439956322179,0.7443301166006279,0,0.001,0.9604815451847138,0.3368591985212973,0.1858099503477365,0.8525938011728635,-0.27741686314405056,0.27741686314405056,0.0,1.0,1.0
AREG,0.7184852512738905,0.9252235665860437,141,0.001,-1.6399194542029465,0.10109306095582761,-0.5197009966912521,0.6032719921217037,-0.7204609757296964,0.7204609757296964,0.0041841004184100415,0.9897951048393526,1.0
AREG_negation,0.43159772857743844,0.7406286657560338,0,0.001,1.6399194542029465,0.10109306095582761,0.5197009966912521,0.6032719921217037,-0.7206142088856332,0.7206142088856332,0.0,1.0,1.0
